start	end	text
0	4000	會登陣秀可拔
4000	6000	壽命無常
6000	7000	三
7000	10000	此城羅珠康布獎獸
10000	12000	更多課程請訪問
12000	14000	康布官方網站
14000	17000	三W點會登之光點抗
19000	20000	我今天有見到相散
20000	22000	班馬給撒棟堡了
22000	23000	漸漸說
23000	25000	我告訴你班馬重點是撒棟
25000	26000	過程完之後
26000	27000	忙不過幾集
27000	28000	撒棟堡
88000	89000	就是對我告訴你
89000	90000	我跟你告訴我
90000	91000	就是我告訴你
91000	92000	我跟你告訴你
92000	93000	我跟你告訴你
93000	94000	我跟你告訴你
94000	95000	我跟你告訴你
95000	96000	我跟他告訴你
96000	97000	我跟他告訴你
97000	98000	我跟他告訴你
98000	99000	我跟他告訴你
99000	100000	我跟他告訴你
100000	101000	我跟他告訴你
101000	102000	我跟他告訴
102000	103000	我跟他告訴你
103000	104140	我上次
104140	105000	我跟他告訴你
105000	106000	我就告訴你
106000	107000	我就告訴你
107000	108000	伴歸我們
108000	109000	叫愛
109000	109760	聽到我
109760	111000	我跟他告訴你
111000	111800	我跟他 zei
111800	113000	我跟他芽擱
113000	114000	跟上譬奏
114000	114560	生江
114560	115520	spring
115520	116520	也Glunt
116520	117020	芽擱
117020	117600	芽擱
117600	117600	
117600	117600	
117600	117800	芽擱
117800	118300	芽擱
118300	118840	芽擱
118840	119080	芽擱
119080	119100	芽擱
119100	119440	芽擱
119440	119600	芽擱
119600	119760	芽擱
119760	119800	芽擱
119800	120140	芽擱
120140	120260	芽擱
120260	120520	芽擱
120520	120600	芽擱
120600	121000	芽擱
121280	121600	芽擱
121600	122160	芽擱
122160	122340	芽擱
122400	122600	芽擱
122600	122900	芽擱
122900	123100	芽擱
123100	123100	
123100	123600	芽擱
123600	123700	芽擱
123700	124200	芽擱
124200	124260	芽擱
124260	125120	芽擱
125800	125960	芽擱
125960	126380	芽擱
126380	127440	芽擱
127440	127700	芽擱
127700	127960	芽擱
127960	128200	芽擱
128200	128440	芽擱
128840	129760	芽擱
129760	130900	芽擱
130900	131740	芽擱
134740	135940	芽擱
135940	136720	芽擱
136720	137920	芽擱
137920	138820	芽擱
138840	139440	芽擱
139440	140040	芽擱
140040	140980	芽擱
140980	142180	芽擱
142180	142440	芽擱
142440	143240	芽擱
143240	143940	芽擱
143940	146240	芽擱
146240	147080	芽擱
147080	147520	芽擱
147520	148560	芽擱
148560	149680	芽擱
149680	150420	芽擱
150420	152240	芽擱
152240	153100	芽擱
153100	153980	芽擱
153980	154840	芽擱
154840	155460	芽擱
155460	156380	芽擱
156380	156940	芽擱
156940	157900	芽擱
157900	159780	芽擱
163380	166440	請大家法埔迪星
166440	169380	我們現在準備
169380	170540	江科
170540	172360	江科之前
172360	174680	就是要法埔迪星
174680	177140	我們今天江科
177140	179440	這個聽課的目的
179440	180960	是什麼呢
180960	184220	就是為了成佛
184220	186760	為什麼要成佛呢
186760	191460	就是要幫助天下所有的終生
191460	194460	為了幫助天下所有的終生
194460	196560	我們下決心
196560	199460	我們一定要成佛
199460	200960	為了成佛
200960	205200	我們大祖修心
205200	206300	為了大祖
206300	207500	為了修心
207500	209800	我們就是要文色
209800	211500	因為
211500	213900	如果不溫死不學習的話
213900	217320	就是我們不知道怎麼樣去大祖
217320	219480	如果不大祖
219480	221720	那我們沒有辦法成佛
221720	223000	如果不成佛
223000	225520	就是沒有辦法讀化終生
225520	227520	沒有辦法立終生
227520	231120	所以我們就是要修心
231120	232460	要文色
232460	235000	這樣子法埔迪星
235000	236060	然後接下來
236060	238560	就聽我們今天的這個課
238560	239800	這個課
239800	243840	我們繼續講這個無常的課
244840	247340	無常的修法
247340	249640	又是比較
249640	251440	這個思維
251440	254640	是我們比較容易接受的
254640	256640	不管是學佛了
256640	257940	很長時間的人
257940	259440	或者是剛剛學佛的
259440	262340	剛剛進剛剛入門的
262340	264340	甚至是根本不學佛的
264340	266040	沒有學過佛
266040	268140	不心佛的人
268140	271540	也可以接受
271640	274540	因為我們這個無常
274540	275540	這個當中講的
275540	278140	全都是施使
278140	283140	這些都是我們先邊發生的這些事情
283140	285140	我們先邊發生的這些事情
285140	287140	為什麼我們還要去思考呢
287140	289740	為什麼還要去修呢
289740	294740	但是就是因為我們平時
294740	295940	就是媽母了
295940	297740	就身邊發生了太多太多
297740	299940	這樣子的無常的事情
299940	302940	但是我們不怎麼去在乎這些
302940	307540	不關注這些事情
307540	309940	不關注了以後
309940	311640	或者我們不關注不在乎
311640	315840	或者是說因為這個無常的事情
