start	end	text
0	8460	秀
8460	30740	各位佛佑大家晚上好
30740	47380	今天我们接着昨天的课程继续讲
47900	50700	首先大家发佩提心
50700	57100	每一次听课的时候或者是稍相拜佛的时候
57100	59940	或者做任何一个善识都是一样的
59940	61340	就是要发佩提心
61340	63100	这个是非常重要的
63100	65540	大家发佩提心
65540	73180	虽然我们这一次的佩提心的修法修完了
73180	80380	但是并不代表我们这一辈子就不需要再修佩提心了
80380	90740	那么佩提心我们任何时候只要有新闪的时候
90740	93740	都要修佩提心是不能离开的
93740	94820	非常非常的重要
94820	98940	所以我们今天大家首先也就发佩提心
98940	102580	那么佩提心我们现在就不需要多讲了
102580	104300	大家都知道什么是佩提心
104300	107940	它简单的说我们就是下定决心
107940	109900	我们要成佛
109900	111820	为什么要成佛呢
111820	116220	就是为了利益扰移所有的终胜
116220	120340	看起来就是一个非常非常的理想化
120340	127860	但是实际上这个也就是我们只要不放弃自己努力
127900	129020	这样子的话
129020	132940	终有一天是完全是可以做导动
132940	137300	所以我们要发这样子的佩提心
137300	138540	这个是非常重要
138540	143340	接下来就讲今天的金刚萨朵的壳
143340	147420	我们这一次的金刚萨朵的修法
147420	151540	我们分了三节壳来讲
151540	155940	第一天就讲了观想的方法
156260	159060	观想的方法也是非常的重要
159060	161900	观想的方法我们讲了一节壳
161900	167220	然后昨天它的一些具体的一些观想的
167220	169260	后面的一些观想的内容
169260	172060	那么这些都是非常的重要
172060	179860	我们今天就讲它的后面的最后的一个修心的方法
179860	181540	最后的一部分
182140	186260	这样子以后金刚萨朵的修法
186260	189420	百姿命的修法就圆满了
189420	193700	接下来大家要修
193700	198420	那么修的时候我们昨天也讲过了
198420	203540	除了我们去池州念百姿命以外
203540	207900	还有一个更重要的就是必须要有四个堆致力
207900	209420	四个堆致力
209900	212220	四个堆致力
212220	215340	就是它的前提的条件
215340	218660	也就是我们缠绘的前提的条件
218660	221420	主要有这个条件在基础上
221420	227980	然后才能够缠绘所有的这些追购
227980	231020	但是如果我们只是嘴巴上一年
231020	235020	实际上心理没有这些堆致力的话
235020	238180	那光是念州有没有用呢
238180	240220	当然也有用
240220	244380	比如说我们没有时间搭着
244380	245980	然后走路的时候
245980	247020	坐车的时候
247020	248460	这样子的时候
248460	250180	虽是最低
250180	253380	念州也是有功德的
253380	258820	但是因为这样子的很三乱的时候
258820	261740	我们的心事没有办法倾下来
261740	263740	所以就是很多问题
263740	267020	不能很专注的很专心的去思考
267020	270020	所以小国就是没有那么好
270020	272380	但是也是有功德的
272380	281020	那么我们最好就是大作就在桌上修
281020	282540	我们昨天讲过了
282540	285700	首先我们官乡金刚撒夺
285700	286940	官乡金刚撒夺
286940	287980	官乡好
287980	289340	官乡好了以后
289340	293820	然后在金刚撒夺的面前
293980	297220	我们把我们的所有的这些
297220	300620	从无师依来的这些贼国
300620	302580	我们是没有办法回忆
302580	304020	但是这一生当中
304020	311180	我们所找的这些比较严重的这些贼国
311180	312660	无论是撒到英王
312660	315140	什么样的贼国都是都一样
315140	319980	就是我们向金刚撒夺产会
319980	321740	就是要不隐瞒
321740	323940	也就是在金刚撒夺的面前
323940	326500	法炉全部说出来
326500	328180	就是这意思
328180	331020	这是第二个补走
331020	331860	在这个当中
331860	332900	我们昨天讲过了
332900	334220	有一个非常关键的
334220	338380	我们对这些国取的这些罪业
338380	341500	深深的感到残亏
341500	344380	就是必须要有残亏的心
344380	346060	残亏后悔
346060	349780	这些是特别特别的重要
350780	353740	然后在残亏心
353740	355140	后悔心
355140	357180	以这样子的心态
357180	359980	把我们的所有的这些贼国
359980	362020	就向金刚撒夺
362020	365340	这个法炉全部不隐瞒的
365340	366420	全部讲出来
366420	367380	这样子
367380	369140	这是第二个补走了
369140	370820	然后第三个补走的话
370820	373140	我们就是下定决心
373140	378220	然后以后不再造这样子的罪
378220	379580	以后不再造
379580	380300	这种罪
380300	382500	我们昨天也讲过了
382500	384100	有一部分的内容
384100	386460	我们确实是完全可以
386460	389500	从今以后就完全可以彻底的断掉
389500	390700	再也不会去做
390700	392460	这个有一部分
392460	393620	只有一部分
393620	398500	另外的一部分只能说
398500	399540	我们尽量
399540	401220	但是我们也不敢保证
401220	403900	从今以后不再做
403900	404940	无论怎么样
404940	408820	这两个都是这两个决心
408820	411860	一个是彻底的不做断掉
411860	412740	另外一个
412740	419780	从今以后一定尽量的断除
419780	423980	那么这个也算是一种决心
423980	425020	也是一种决心
425020	425980	那么这两个
425980	427300	就是叫做恢复
427300	429140	第三个补走了
429140	430820	然后这些都完了以后
430820	433700	然后我们开始吃粥
433700	436220	就是念金刚撒夺的粥
436220	437900	念百字命
437980	439020	那百字命
439020	440620	念百字命的时候
440620	441700	我们昨天讲过了
441700	444540	就是观想金刚撒夺
444540	447180	心口心间的舟轮
447180	448380	舟轮
448380	449940	然后舟轮
449940	452460	我们今天大家可以看得到
452460	453660	这个舟轮
453660	458900	这个是我们观想的时候
458900	460900	这个舟轮是不需要专动的
460900	462420	这个我们昨天也讲过了
462420	463420	不需要专动
463420	465300	但是观想的方法
465300	467700	就是基本上就是这样子
468300	469580	这个观想以后
469580	473140	我们就开始念百字命
473140	475020	念百字命的时候
475020	478780	我们可以把百字命当作一个
478780	483580	祈祷金刚撒夺的一个这样子的词来念
483580	485700	然后通过百字命
485700	489140	我们就是非常虔诚的心
489140	491220	祈祷金刚撒夺
